model_id;response_id;cs_id;ucs_id;control;reg;up_down_r;is_mem;relax.integrated;relax.emergence;train.integrated;train.emergence;relapse.integrated;relapse.emergence;test.integrated;test.emergence;reset.integrated;reset.emergence
50;3;1;12;6;Regulation.UP;Regulation.NEUTRAL;False;0.5666496371947676;0.4935903239687184;0.5637277424493481;0.4913252285360243;0.5633808506828806;0.49103870864169447;0.5654101988095948;0.492529403341487;0.5638505985884859;0.49143950802137965
50;3;1;12;6;Regulation.DOWN;Regulation.NEUTRAL;False;1.0975668941556775;0.7505809531081784;1.021760447017827;0.7260209205095629;1.0252220095380857;0.7271628075326335;1.026747252845853;0.7276633417550706;1.0893212816677136;0.7499793983692531
10;6;7;0;3;Regulation.UP;Regulation.NEUTRAL;False;4.439622556520039;4.426442886600185;3.7226354599513076;3.7167722529518445;3.7212107808222847;3.7153548115448967;3.721582631886232;3.7157406329344878;3.719370176451478;3.7135515039269613
10;6;7;0;3;Regulation.DOWN;Regulation.NEUTRAL;True;0.44936291480757157;0.36732813294628974;0.3986484280577004;0.3303249301713991;0.39793748206824414;0.3295204720610073;0.40107663184144393;0.33166768788930057;0.39652766461803257;0.3285784507878916
10;6;5;2;7;Regulation.UP;Regulation.NEUTRAL;False;1.8095532918376536;1.5868039887930916;1.3282719349337686;1.2124276032240027;1.4039383127082652;1.2709198893777045;1.392274185009724;1.262232682332554;1.323300425847604;1.208674925560465
10;6;5;2;7;Regulation.DOWN;Regulation.NEUTRAL;True;0.14320711116270798;0.0990449692187738;0.12674294997770416;0.08938636828118021;0.12675022380642897;0.0893871294590432;0.12675748997181324;0.08938638640400559;0.12676563390920945;0.08940517778728369
10;3;7;6;7;Regulation.UP;Regulation.NEUTRAL;True;0.005834651740877772;0.005422213292292366;0.0024388173996069407;0.0022884228023540842;0.002423080593105864;0.0022726978521265817;0.0024911939594839394;0.0023452962587611204;0.0025396626075148143;0.002390151225008297
10;3;7;6;7;Regulation.DOWN;Regulation.NEUTRAL;True;0.008533451531741718;0.0022656697349023175;0.004504120626258407;0.001168283967731415;0.004417942733137004;0.001171977016622458;0.004380951655140186;0.0011680272018855797;0.004380951655140186;0.0011680272018855797
10;7;0;2;0;Regulation.UP;Regulation.NEUTRAL;False;0.0005316902164534069;0.00042942001936958994;0.00047627540732586614;0.0003856152462697773;0.00048783696328113515;0.0003978595228396934;0.0004909674471784394;0.00040269684609609306;0.0004467916542989915;0.00035758613455467384
10;7;0;2;0;Regulation.DOWN;Regulation.NEUTRAL;True;3.4464113129812675;3.3977311065908786;3.0857592634758255;3.0609993900063195;3.0857592634758255;3.0609993900063195;3.0857592634423296;3.060999389975212;3.0857592643264664;3.0609993908296396
10;6;4;3;4;Regulation.UP;Regulation.NEUTRAL;True;0.015117140391029738;0.005523808670851449;0.013947260062539213;0.005205923479768559;0.013956373244635056;0.005187911735489936;0.013966405422619621;0.0051824653518175445;0.013958989906600827;0.005200478699909139
10;6;4;3;4;Regulation.DOWN;Regulation.NEUTRAL;True;0.48671618973935005;0.3813152878394575;0.486679701243626;0.3808755047699963;0.48667970269350547;0.38087550401815173;0.48667969857134097;0.38087549958017075;0.48635401694791636;0.38048819274074447
10;3;4;6;4;Regulation.UP;Regulation.NEUTRAL;False;0.12422176442140004;0.089107803202648;0.1239032114251819;0.09913348213936551;0.12368884478139269;0.08851416646745808;0.12382031702586094;0.08869228664873346;0.12674363209781725;0.09197574114628876
10;3;4;6;4;Regulation.DOWN;Regulation.NEUTRAL;True;0.44934493373252893;0.44887543688784454;0.30810544821457364;0.30794418864425105;0.25042113692495976;0.250261228291445;0.22555240027000428;0.22540122088474657;0.27415897843496334;0.2740174805580311
10;3;4;0;5;Regulation.UP;Regulation.NEUTRAL;False;0.11816872009580723;0.03768160406731347;0.09659088854906195;0.022486244512067544;0.09627274833898797;0.022422701834871328;0.0964353317128932;0.022462985896879617;0.09644185797018195;0.02245998612607525
10;3;4;0;5;Regulation.DOWN;Regulation.NEUTRAL;True;3.7753952050745276e-07;2.8669089907618073e-07;1.8804026880037128e-07;1.3499709386466385e-07;1.8481343846965537e-07;1.399874695606762e-07;1.8829901593520049e-07;1.4957738792009678e-07;1.6998423424396947e-07;1.2031357410347e-07
10;6;5;0;5;Regulation.UP;Regulation.NEUTRAL;False;1.715177213942907;1.5515078590157017;1.613000033598393;1.4726382951162407;1.6142203589311168;1.4722094352884736;1.626166570227329;1.4803535905778107;1.649074562098864;1.5017606634429745
10;6;5;0;5;Regulation.DOWN;Regulation.NEUTRAL;True;0.06066359774302943;0.05734562790715564;0.026477251434731508;0.02511460048272407;0.02563706140887706;0.024314842982943008;0.025309140196904167;0.024001792638116193;0.02698387564102711;0.025595775069839732
10;3;4;6;4;Regulation.UP;Regulation.NEUTRAL;False;0.08547517887597261;0.012145338760308766;0.08555966349173916;0.013479666984940797;0.08763831411323147;0.013661567404753779;0.08763063823310041;0.013658134581492724;0.08760791463529422;0.013646511723215349
10;3;4;6;4;Regulation.DOWN;Regulation.NEUTRAL;True;0.09164570706442582;0.07977888444625651;0.0918279891115207;0.07993914715433163;0.09179015718496637;0.07990266101397352;0.09173812664684952;0.07985515067479358;0.09174726902652726;0.07986472526954261
10;6;7;4;2;Regulation.UP;Regulation.NEUTRAL;False;0.04170155083002987;0.00942376686957383;0.007084938701990645;0.0016706539770544038;0.007084748275095948;0.00166994759332445;0.00708603864678492;0.0016698078940147187;0.007094375791098312;0.0016721939322432433
10;6;7;4;2;Regulation.DOWN;Regulation.NEUTRAL;True;4.551293881745719;4.518783650246814;4.00808884060524;3.9898455116997793;4.008660675505627;3.990412622743422;4.010405259032357;3.992114286006725;4.01084025881233;3.9925448295140984
37;10;5;8;7;Regulation.UP;Regulation.NEUTRAL;True;1.09687962905925;3.245763605341789e-05;1.102277746301109;2.4192056464866774e-05;1.0968770040682903;2.3333097919131518e-05;1.102958719482554;2.5473683016641324e-05;1.1144321801466344;4.625961885795782e-05
37;10;5;8;7;Regulation.DOWN;Regulation.NEUTRAL;True;0.2265159100512651;1.0884171472380633e-05;0.2228023997975852;8.95265953676505e-06;0.2242821981038365;9.684945178778381e-06;0.22393373703260472;1.1258246099210556e-05;0.29526960975069305;3.335813513050123e-05
37;6;10;0;11;Regulation.UP;Regulation.NEUTRAL;True;0.08741822683164452;-0.00028772886384603735;0.08477889940788069;-0.000310799333496925;0.07412098538377287;-0.0003519509102119789;0.08439000817067444;-0.00030059608225843637;0.10911915820298251;-0.00021017499022032982
