model_id;response_id;circuit_id;relax.synergy;train.synergy;test.synergy;verify.synergy;relax.causation;train.causation;test.causation;verify.causation;relax.redundancy;train.redundancy;test.redundancy;verify.redundancy;relax.integrated;train.integrated;test.integrated;verify.integrated;relax.emergence;train.emergence;test.emergence;verify.mergence
10;0;17;7.741349438178391e-06;-5.97457534887158e-06;9.372944767771507e-06;7.746556037191432e-06;1.767878545111401e-06;7.5789064678255524e-06;-5.849080967984532e-06;9.176636864616228e-06;7.584069975002938e-06;1.7301709495931572e-06;7.838195307502405e-06;-6.037858720220335e-06;9.455187717333224e-06;7.84449476995408e-06;1.8003187678972132e-06;nan;nan;nan;nan;nan
10;0;18;0.00014858488182334373;-0.00014019635425369104;0.0002771450913419127;0.00015198750975017883;8.17265663832778e-06;0.00014625731815126608;-0.00013861338706597226;0.00027569193268006664;0.00015028257527407995;7.647857258652468e-06;0.00014664126734692529;-0.0001389594518496906;0.0002762776876686912;0.00015065679796216758;7.681842220663704e-06;nan;nan;nan;nan;nan
10;0;19;0.038022100830297695;-0.0014854019103225924;0.00012425139623950532;0.03802364265103292;0.036536381581460414;0.037849590975091274;-0.0014777875396880802;0.00012355190040375108;0.037851121435680535;0.03637182123573532;0.03864612761997724;-0.0015094230553689691;0.00012630889745168794;0.038647511800308315;0.037136709158495484;nan;nan;nan;nan;nan
10;0;20;0.0012377491864762058;-6.232582307755252e-05;7.625333180256641e-06;0.001243447970790984;0.0011755596875307195;0.0008171223323927834;-3.731332266435072e-05;4.404787573613483e-06;0.0008221246933179105;0.0007796872013270117;0.0008479029844006558;-3.8802659771325354e-05;4.574979103189394e-06;0.0008531341701047968;0.0008091053056459852;nan;nan;nan;nan;nan
10;0;21;1.96175442572055;-1.6969884365693428;2.0710995969285744;2.1131148627678753;0.2647659891512071;1.9619811798767066;-1.6971579709584195;2.07110748933588;2.1132769832472986;0.264786681858598;1.9620387615958923;-1.6971384432214778;2.07109706691654;2.113337558433606;0.264793023254977;nan;nan;nan;nan;nan
10;1;0;1.9394681722635712;-0.002460620735013852;2.6629732689437136e-05;1.9395042540600047;1.93700755152582;1.939468172175214;-0.0024606207348776277;2.6629732689437136e-05;1.9395042539716976;1.9370075514403364;1.939468172175214;-0.0024606207348776277;2.6629732689437136e-05;1.9395042539716976;1.9370075514403364;nan;nan;nan;nan;nan
10;1;1;0.004336882810204612;-0.00032033904624206855;5.18503477636139e-05;0.0043541450482849076;0.004016535202170601;0.004236606886537597;-0.0003141169575511804;5.106700672203191e-05;0.004254055290816405;0.003922489789829897;0.004238254226517801;-0.00031403791820183713;5.102858194608144e-05;0.004255626160707626;0.003924217243947481;nan;nan;nan;nan;nan
10;1;2;0.891781273495318;-0.0025627984035184737;3.315912098526136e-05;0.891799266336864;0.8892184750917995;0.891781273495318;-0.0025627984035184737;3.315912098526136e-05;0.891799266336864;0.8892184750917995;0.891781273495318;-0.0025627984035184737;3.315912098526136e-05;0.891799266336864;0.8892184750917995;nan;nan;nan;nan;nan
10;1;3;0.006228809142968139;-0.0022597292682093317;0.0016451826014156623;0.006232012603862691;0.003969161564274737;0.006003968501918477;-0.00218305754863074;0.0015925738709348103;0.0060076019617924525;0.0038208979457137193;0.0060131222034106036;-0.0021844648351364016;0.0015922594235622256;0.0060166052570274076;0.0038286671796330385;nan;nan;nan;nan;nan
10;1;4;0.018513064745436153;-0.0009284054522726848;9.795427829950576e-05;0.018514275582014295;0.017575171510321508;0.016095326985615582;-0.0008085431258265385;8.372576471566556e-05;0.016096248614727;0.015286788248898786;0.016102491653516043;-0.0008090213220774967;8.378567689005384e-05;0.016103409049458006;0.015293471556908245;nan;nan;nan;nan;nan
