model_id;name;lineage;c.e.median;c.e.std;int.inf.median;int.inf.std
565;cellular organisms-Bacteria-Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Enterobacterales-Enterobacteriaceae-Escherichia;Escherichia coli;0.33195979747983384;1.518415780926975;2.9958442676972084;5.632093601537777
207;cellular organisms;Eukaryota;0.13254838249311363;1.0347777324411616;0.1661118998404506;1.139421147928435
950;nan;Unknown;0.63140578998555;2.00022491992213;1.1249363683790867;4.904637275726531
159;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;3.495428629479232;4.990695911202726;4.573908241886371;11.379722250468301
70;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;2.0186271354717458;2.9581089068374733;3.5200626577079994;9.50395215563965
58;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Glires-Rodentia-Myomorpha-Muroidea-Muridae-Murinae-Rattus;Rattus norvegicus;0.8530479666197908;0.6872757432974549;1.056444190969555;2.5632662595653035
373;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;2.23538960731;0.937930093603337;4.216040112398689;5.719710604500228
401;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia;Chordata;0.0590509167439488;2.159228416493936;0.9926158653496225;3.212766064741657
372;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.010825493758811755;0.27227884355878335;0.6712042299323262;0.8472739008723871
170;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota;Mammalia;0.0002682599442127599;0.4916807231243609;0.23957298024896612;1.0039522218532542
951;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.006183322412939894;0.27613714336952444;0.09870954441521973;0.9938537086543389
951;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.006183322412939894;0.27613714336952444;0.09870954441521973;0.9938537086543389
945;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.35386040026951104;5.79847751031717;0.6298584224920858;5.64689615892704
206;cellular organisms-Eukaryota-Opisthokonta-Fungi-Dikarya-Ascomycota-saccharomyceta-Saccharomycotina-Saccharomycetes-Saccharomycetales-Saccharomycetaceae-Saccharomyces;Saccharomyces cerevisiae;0.6153884871097353;1.259040623225881;1.0278768236320217;2.6149533278977626
548;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.014862828576468146;0.08037123701730715;0.041477868211854715;0.12885286440657967
947;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;1.2555192270636133;4.551085490129133;4.685055397249672;7.680364117689388
166;cellular organisms;cellular organisms;0.059713430205919904;1.6545766207419952;0.49882267734594626;2.0987780971701664
67;cellular organisms-Bacteria-Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Enterobacterales-Enterobacteriaceae-Escherichia-Escherichia coli;Escherichia coli K-12;0.030727842842787984;0.9441266758305935;0.1383798434827686;1.2668498925317129
402;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia;Chordata;0.4953934076536403;1.5373096788464837;1.0338669521713557;1.8063615010641834
